Date,Rainfall_mm,Temp_Max_C,Temp_Min_C,WindSpeed_Max_kmh,City
2000-07-01,0.0,35.1,19.5,20.2,Cairo
2000-07-02,0.0,36.7,19.6,18.4,Cairo
2000-07-03,0.0,37.3,19.8,18.0,Cairo
2000-07-04,0.0,37.7,19.9,15.8,Cairo
2000-07-05,0.0,38.8,20.1,16.9,Cairo
2000-07-06,0.0,38.9,20.1,13.8,Cairo
2000-07-07,0.0,40.1,21.1,14.1,Cairo
2000-07-08,0.0,41.1,21.3,14.0,Cairo
2000-07-09,0.0,39.4,21.2,15.3,Cairo
2000-07-10,0.0,38.5,22.8,12.4,Cairo
2000-07-11,0.0,38.8,21.9,18.0,Cairo
2000-07-12,0.0,38.4,20.2,15.8,Cairo
2000-07-13,0.0,40.7,20.3,18.0,Cairo
2000-07-14,0.0,39.9,21.2,19.5,Cairo
2000-07-15,0.0,36.0,20.2,17.7,Cairo
2000-07-16,0.0,35.2,19.5,20.0,Cairo
2000-07-17,0.0,35.6,19.6,20.2,Cairo
2000-07-18,0.0,34.1,20.9,18.0,Cairo
2000-07-19,0.0,35.9,19.8,18.5,Cairo
2000-07-20,0.0,36.6,20.9,15.4,Cairo
2000-07-21,0.0,37.0,22.0,17.8,Cairo
2000-07-22,0.0,36.2,22.2,21.6,Cairo
2000-07-23,0.0,33.9,20.9,21.3,Cairo
2000-07-24,0.0,33.8,21.4,15.0,Cairo
2000-07-25,0.0,35.6,19.9,11.9,Cairo
2000-07-26,0.0,36.8,21.6,13.7,Cairo
2000-07-27,0.0,36.9,21.4,16.3,Cairo
2000-07-28,0.0,38.6,21.7,17.1,Cairo
2000-07-29,0.0,41.3,25.2,16.4,Cairo
2000-07-30,0.0,42.7,25.7,19.5,Cairo
2000-07-31,0.0,39.7,22.7,23.4,Cairo
2000-08-01,0.0,36.0,22.2,20.0,Cairo
2000-08-02,0.0,35.9,22.1,24.3,Cairo
2000-08-03,0.0,35.8,20.8,23.5,Cairo
2000-08-04,0.0,35.2,20.8,18.2,Cairo
2000-08-05,0.0,34.5,20.7,17.3,Cairo
2000-08-06,0.0,36.0,21.3,18.1,Cairo
2000-08-07,0.0,36.0,20.6,15.8,Cairo
2000-08-08,0.0,35.6,20.0,18.0,Cairo
2000-08-09,0.0,34.4,20.2,16.8,Cairo
2000-08-10,0.0,33.7,19.0,17.0,Cairo
2000-08-11,0.0,34.7,20.5,16.3,Cairo
2000-08-12,0.0,35.1,22.3,20.6,Cairo
2000-08-13,0.0,34.2,22.8,19.0,Cairo
2000-08-14,0.0,33.9,22.1,15.7,Cairo
2000-08-15,0.0,34.9,21.5,14.0,Cairo
2000-08-16,0.0,36.3,21.8,14.3,Cairo
2000-08-17,0.0,36.4,22.7,18.9,Cairo
2000-08-18,0.0,35.8,21.6,15.4,Cairo
2000-08-19,0.0,35.2,20.9,16.9,Cairo
2000-08-20,0.0,35.8,21.7,16.0,Cairo
2000-08-21,0.0,36.1,22.5,19.5,Cairo
2000-08-22,0.0,36.5,21.6,16.7,Cairo
2000-08-23,0.0,37.0,21.5,16.2,Cairo
2000-08-24,0.0,36.9,20.4,17.7,Cairo
2000-08-25,0.0,38.1,21.4,15.1,Cairo
2000-08-26,0.0,37.9,23.0,16.8,Cairo
2000-08-27,0.0,36.4,21.7,22.3,Cairo
2000-08-28,0.0,35.2,20.4,22.0,Cairo
2000-08-29,0.0,35.2,19.4,19.5,Cairo
2000-08-30,0.0,34.4,19.7,18.7,Cairo
2000-08-31,0.0,33.8,20.6,17.4,Cairo
2000-09-01,0.0,34.3,21.0,18.4,Cairo
2000-09-02,0.0,34.8,18.9,17.7,Cairo
2000-09-03,0.0,38.0,18.0,18.1,Cairo
2000-09-04,0.0,34.9,19.9,17.7,Cairo
2000-09-05,0.0,36.6,19.3,18.1,Cairo
2000-09-06,0.0,36.3,19.8,18.5,Cairo
2000-09-07,0.0,34.4,21.0,16.9,Cairo
2000-09-08,0.0,32.7,19.9,14.4,Cairo
2000-09-09,0.0,32.8,20.6,23.0,Cairo
2000-09-10,0.0,34.9,19.3,21.4,Cairo
2000-09-11,0.0,36.3,18.9,15.5,Cairo
